city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips,id,airports-3rddegree,airports-airblast1,airports-airblast5,airports-fireball,bases-3rddegree,bases-airblast1,bases-airblast5,bases-fireball,capitals-3rddegree,capitals-airblast1,capitals-airblast5,capitals-fireball,cities-3rddegree,cities-airblast1,cities-airblast5,cities-fireball,earthquakes10,earthquakes20,earthquakes50,earthquakes70,hurricanes-200-land,hurricanes-400-land,hurricanes-50-land,hurricanes-650-land,ports-3rddegree,ports-airblast1,ports-airblast5,ports-fireball,power-3rddegree,power-airblast1,power-airblast5,power-fireball,railyard-3rddegree,railyard-airblast1,railyard-airblast5,railyard-fireball,silo-3rddegree,silo-airblast1,silo-airblast5,silo-fireball,tornado10,tornado25,tornado40,tornado65,wildfires-1,wildfires-2,wildfires-3,wildfires-4
Moss Point,Moss Point,MS,Mississippi,"28059",Jackson,"30.4240","-88.5289","13398","13398","214",polygon,True,America/Chicago,39563 39552,"1840015016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","1","1","0","0","1","1","1","1","0","0","0","0","1","1","1","0","0","0","0","1"
Byram,Byram,MS,Mississippi,"28049",Hinds,"32.1890","-90.2861","11671","11671","245",polygon,True,America/Chicago,39272 39170 39212,"1840023049","1","1","0","0","0","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0"
Corinth,Corinth,MS,Mississippi,"28003",Alcorn,"34.9474","-88.5143","12528.0","14643","187",polygon,True,America/Chicago,38834 38835,"1840014638","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","1","1","1","0","0","0","0","0"
Olive Branch,Olive Branch,MS,Mississippi,"28033",DeSoto,"34.9608","-89.8478","37435","37435","393",polygon,True,America/Chicago,"38654","1840014641","1","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0"
Tupelo,Tupelo,MS,Mississippi,"28081",Lee,"34.2691","-88.7318","45231.0","38114","228",polygon,True,America/Chicago,38804 38801 38826 38802 38803,"1840015561","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","1","0","0","0","0"
Columbia,Columbia,SC,South Carolina,"45079",Richland,"34.0370","-80.9042","566166.0","133114","380",polygon,True,America/New_York,29201 29202 29203 29207 29205 29208 29209 29212 29225 29210 29229 29147 29206 29204 29214 29215 29216 29217 29218 29220 29224 29226 29240 29250,"1840014730","0","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0"
Greer,Greer,SC,South Carolina,"45045",Greenville,"34.9346","-82.2333","30899","30899","562",polygon,True,America/New_York,29651 29650,"1840013502","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0"
Mount Pleasant,Mount Pleasant,SC,South Carolina,"45019",Charleston,"32.8533","-79.8269","86668","86668","741",polygon,True,America/New_York,29466 29464 29465,"1840017286","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","1","1","1","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
Goose Creek,Goose Creek,SC,South Carolina,"45015",Berkeley,"32.9922","-80.0052","42619","42619","397",polygon,True,America/New_York,"29445","1840013761","0","0","0","0","1","1","1","1","0","0","0","0","1","1","0","0","1","1","0","0","1","1","1","1","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
Summerville,Summerville,SC,South Carolina,"45035",Dorchester,"33.0005","-80.1788","50388","50388","1007",polygon,True,America/New_York,29485 29483 29484,"1840016886","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
Laurens,Laurens,SC,South Carolina,"45059",Laurens,"34.5019","-82.0210","10051.0","8887","354",polygon,True,America/New_York,"29360","1840014668","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","1","1","1","0","0","0","0","0"
Lexington,Lexington,SC,South Carolina,"45063",Lexington,"33.9866","-81.2220","21265","21265","826",polygon,True,America/New_York,29072 29071,"1840016724","1","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0"
Hartsville,Hartsville,SC,South Carolina,"45031",Darlington,"34.3679","-80.0829","14856.0","7626","515",polygon,True,America/New_York,29550 29551,"1840013610","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0"
Bluffton,Bluffton,SC,South Carolina,"45013",Beaufort,"32.2135","-80.9316","21085","21085","156",polygon,True,America/New_York,"29910","1840015799","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
Irmo,Irmo,SC,South Carolina,"45063",Lexington,"34.1015","-81.1953","12250","12250","699",polygon,True,America/New_York,29212 29063,"1840016723","1","1","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0"
Gaffney,Gaffney,SC,South Carolina,"45021",Cherokee,"35.0742","-81.6558","21460.0","12782","591",polygon,True,America/New_York,29340 29341,"1840013515","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
Fort Mill,Fort Mill,SC,South Carolina,"45091",York,"35.0062","-80.9388","17557","17557","348",polygon,True,America/New_York,29715 29716,"1840016479","0","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
Hilton Head Island,Hilton Head Island,SC,South Carolina,"45013",Beaufort,"32.1896","-80.7499","74500.0","40055","373",polygon,True,America/New_York,29928 29926 29925 29938,"1840016974","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
Camden,Camden,SC,South Carolina,"45055",Kershaw,"34.2564","-80.6085","14200.0","7168","259",polygon,True,America/New_York,"29020","1840013598","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
